,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,debut,birthCountry,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
594,hanigmi01,2016,ARI,Mitch,Haniger,215,74,R,NL,34.0,25.0,109.0,5.0,17.0,0.0,9.0,2.0,1.0,0.0,12.0,27.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,4.0,31.0,0.0,2016-08-16,USA,of,"['cf', 'of']",0.22935779816513763,0.3089430894308943,17.0,0.4036697247706422,0.7126128142015365,0.34403669724770647,0.10638297872340426,0.07317073170731707,0.12781954887218044,0.0,0.3124,0.20350047042641
724,kempto01,2016,HOU,Tony,Kemp,165,66,L,AL,59.0,26.0,120.0,1.0,7.0,2.0,15.0,4.0,3.0,1.0,14.0,27.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,1.0,1.0,39.0,8.0,2016-05-17,USA,of,"['lf', 'of']",0.21666666666666667,0.2962962962962963,18.0,0.325,0.6212962962962962,0.325,0.02127659574468085,0.12195121951219512,0.05263157894736842,0.03225806451612903,0.352,0.19469734546957143
1093,preslal01,2016,MIL,Alex,Presley,195,70,L,NL,47.0,23.0,116.0,3.0,11.0,0.0,12.0,2.0,0.0,2.0,11.0,25.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,13.0,28.0,0.0,2010-09-08,USA,of,"['lf', 'rf', 'of']",0.19827586206896552,0.2713178294573643,18.0,0.29310344827586204,0.5644212777332264,0.2974137931034483,0.06382978723404255,0.0975609756097561,0.08270676691729323,0.0,0.3376,0.18281422259906877
638,hernate01,2016,HOU,Teoscar,Hernandez,180,74,R,AL,41.0,23.0,100.0,4.0,11.0,0.0,15.0,7.0,0.0,2.0,11.0,28.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15.0,6.0,38.0,0.0,2016-08-12,D.R.,of,"['lf', 'cf', 'of']",0.23,0.30357142857142855,12.0,0.42,0.7235714285714285,0.34500000000000003,0.0851063829787234,0.12195121951219512,0.08270676691729323,0.0,0.28,0.1777340234342993
920,moyast01,2016,DET,Steven,Moya,260,79,L,AL,31.0,24.0,94.0,5.0,11.0,0.0,9.0,4.0,2.0,1.0,5.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,18.0,26.0,3.0,2014-09-01,P.R.,of,"['rf', 'of']",0.2553191489361702,0.29,13.0,0.5,0.79,0.3829787234042553,0.10638297872340426,0.07317073170731707,0.08270676691729323,0.0,0.2584,0.16672980947438654
831,martimi02,2016,CLE,Michael,Martinez,180,69,B,AL,63.0,24.0,101.0,1.0,4.0,0.0,16.0,4.0,0.0,2.0,4.0,23.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.0,4.0,11.0,18.0,22.0,20.0,56.0,7.0,2011-04-03,D.R.,of,"['2b', 'ss', 'lf', 'cf', 'rf', 'of']",0.2376237623762376,0.26666666666666666,19.0,0.3069306930693069,0.5735973597359736,0.3564356435643564,0.02127659574468085,0.13008130081300814,0.03007518796992481,0.0,0.2836,0.15253957128688278
627,heredgu01,2016,SEA,Guillermo,Heredia,180,70,R,AL,45.0,23.0,92.0,1.0,12.0,1.0,12.0,3.0,0.0,1.0,12.0,15.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,14.0,43.0,0.0,2016-07-29,Cuba,of,"['lf', 'rf', 'of']",0.25,0.3490566037735849,19.0,0.31521739130434784,0.6642739950779327,0.375,0.02127659574468085,0.0975609756097561,0.09022556390977443,0.016129032258064516,0.25120000000000003,0.15076827248159572
1405,vanslsc01,2016,LAN,Scott,Van Slyke,215,76,R,NL,52.0,23.0,102.0,1.0,7.0,1.0,10.0,6.0,0.0,2.0,5.0,24.0,1.0,5.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,19.0,1.0,10.0,29.0,0.0,2012-05-09,USA,of,"['lf', 'rf', 'of']",0.22549019607843138,0.2920353982300885,16.0,0.3137254901960784,0.6057608884261669,0.3382352941176471,0.02127659574468085,0.08130081300813008,0.05263157894736842,0.016129032258064516,0.2872,0.14634945580259587
163,britoso01,2016,ARI,Socrates,Brito,205,74,L,NL,40.0,17.0,95.0,4.0,12.0,2.0,10.0,3.0,1.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,16.0,36.0,0.0,2015-09-08,D.R.,of,"['cf', 'rf', 'of']",0.17894736842105263,0.1958762886597938,9.0,0.35789473684210527,0.553771025501899,0.26842105263157895,0.0851063829787234,0.08130081300813008,0.09022556390977443,0.03225806451612903,0.262,0.146015711785616
1169,robinsh01,2016,LAA,Shane,Robinson,170,69,R,AL,65.0,17.0,98.0,1.0,10.0,3.0,16.0,3.0,0.0,2.0,10.0,17.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,19.0,5.0,55.0,1.0,2009-05-07,USA,of,"['lf', 'cf', 'of']",0.17346938775510204,0.25688073394495414,13.0,0.23469387755102042,0.4915746114959746,0.2602040816326531,0.02127659574468085,0.13008130081300814,0.07518796992481203,0.04838709677419355,0.27280000000000004,0.14598538584581405
79,barnebr02,2016,COL,Brandon,Barnes,210,74,R,NL,48.0,22.0,100.0,0.0,8.0,1.0,10.0,6.0,2.0,2.0,3.0,30.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,13.0,2.0,43.0,0.0,2012-08-07,USA,of,"['lf', 'cf', 'of']",0.22,0.25,14.0,0.32,0.5700000000000001,0.33,0.0,0.08130081300813008,0.06015037593984962,0.016129032258064516,0.28,0.1365224619376924
938,nimmobr01,2016,NYN,Brandon,Nimmo,205,75,L,NL,32.0,20.0,73.0,1.0,6.0,0.0,12.0,1.0,0.0,0.0,6.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,7.0,22.0,0.0,2016-06-26,USA,of,"['lf', 'of']",0.273972602739726,0.3375,18.0,0.3287671232876712,0.6662671232876712,0.410958904109589,0.02127659574468085,0.0975609756097561,0.045112781954887216,0.0,0.18280000000000002,0.10509341225617734
