,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,BFPG,SPG,IP,ERA,ERARecip,WHIP,WHIPRecip,ERA_Scaled,WHIP_Scaled,SO_Scaled,SV_Scaled,W_Scaled,Penalty,StarterStars,RelieverStars,StarRating
1804,hernafe02,2016,SEA,Felix,Hernandez,225,75,R,AL,11.0,8.0,25.0,25.0,0.0,0.0,0.0,460.0,138.0,65.0,19.0,65.0,122.0,0.0,6.0,10,0.0,655.0,0.0,76.0,3.0,0.0,17.0,26.2,1.0,153.33,3.815300332615926,0.2621025641025641,1.3239418248222787,0.755320197044335,0.024403596403596406,0.06382989337157823,0.4295774647887324,0.0,0.5,1.0,1.017810954563907,0.5882334897751746,1.017810954563907
4211,volqued01,2016,KCA,Edinson,Volquez,220,72,R,AL,10.0,11.0,34.0,34.0,0.0,0.0,0.0,568.0,217.0,113.0,23.0,76.0,139.0,1.0,5.0,7,1.0,853.0,0.0,124.0,6.0,6.0,16.0,25.08,1.0,189.33,5.371573443194422,0.186165191740413,1.547562457085512,0.6461774744027304,0.016795770601080336,0.052777465762301815,0.4894366197183099,0.0,0.45454545454545453,1.0,1.0135553106271467,0.5241186909088367,1.0135553106271467
2081,kazmisc01,2016,LAN,Scott,Kazmir,195,72,L,NL,10.0,6.0,26.0,26.0,0.0,0.0,0.0,409.0,133.0,69.0,21.0,52.0,134.0,3.0,5.0,7,0.0,590.0,0.0,71.0,2.0,3.0,6.0,22.69,1.0,136.33,4.5551235971539645,0.21953301127214173,1.3570013936771068,0.736918918918919,0.02013874324433331,0.06196647280191585,0.47183098591549294,0.0,0.45454545454545453,1.0,1.0084816565071966,0.5366506705917037,1.0084816565071966
3767,shoemma01,2016,LAA,Matt,Shoemaker,225,74,R,AL,9.0,13.0,27.0,27.0,1.0,1.0,0.0,480.0,166.0,69.0,18.0,30.0,143.0,1.0,2.0,7,0.0,668.0,0.0,71.0,2.0,5.0,10.0,24.74,1.0,160.0,3.88125,0.2576489533011272,1.225,0.8163265306122448,0.02395740905057675,0.0700077499354172,0.5035211267605634,0.0,0.4090909090909091,1.0,1.0065771948374664,0.5030560680769031,1.0065771948374664
2169,koehlto01,2016,MIA,Tom,Koehler,235,75,R,NL,9.0,13.0,33.0,33.0,0.0,0.0,0.0,530.0,176.0,85.0,22.0,83.0,147.0,7.0,9.0,5,0.0,774.0,0.0,93.0,6.0,5.0,10.0,23.45,1.0,176.66,4.330352088758066,0.2309281045751634,1.466093060115476,0.6820849420849421,0.0212803666921314,0.05641366502125996,0.5176056338028169,0.0,0.4090909090909091,1.0,1.0043905746071173,0.48678494080430046,1.0043905746071173
2126,keuchda01,2016,HOU,Dallas,Keuchel,205,75,L,AL,9.0,12.0,26.0,26.0,1.0,1.0,0.0,504.0,168.0,85.0,20.0,48.0,144.0,1.0,9.0,2,0.0,701.0,0.0,88.0,2.0,1.0,16.0,26.96,1.0,168.0,4.553571428571429,0.2196078431372549,1.2857142857142858,0.7777777777777777,0.02014624031430754,0.0661040787623066,0.5070422535211268,0.0,0.4090909090909091,1.0,1.00238348168865,0.49534122816752324,1.00238348168865
3831,smylydr01,2016,TBA,Drew,Smyly,190,75,L,AL,7.0,12.0,30.0,30.0,0.0,0.0,0.0,526.0,174.0,95.0,32.0,49.0,167.0,2.0,10.0,2,0.0,738.0,0.0,103.0,5.0,11.0,10.0,24.6,1.0,175.33,4.87651856499173,0.20506432748538012,1.271887298237609,0.7862331838565023,0.018689190508739382,0.06696032241584833,0.5880281690140845,0.0,0.3181818181818182,1.0,0.9918595001204904,0.4038313311064059,0.9918595001204904
4147,velasvi01,2016,PHI,Vince,Velasquez,205,75,R,NL,8.0,6.0,24.0,24.0,1.0,1.0,0.0,393.0,129.0,60.0,21.0,45.0,152.0,1.0,3.0,1,0.0,551.0,0.0,64.0,9.0,5.0,12.0,22.95,1.0,131.0,4.122137404580153,0.24259259259259258,1.3282442748091603,0.7528735632183908,0.022448979591836733,0.06358213298414084,0.5352112676056338,0.0,0.36363636363636365,1.0,0.984878743817975,0.4496674762123412,0.984878743817975
4275,weaveje02,2016,LAA,Jered,Weaver,210,79,R,AL,12.0,12.0,31.0,31.0,1.0,1.0,0.0,534.0,209.0,100.0,37.0,51.0,103.0,2.0,1.0,4,2.0,767.0,0.0,106.0,1.0,6.0,19.0,24.74,1.0,178.0,5.056179775280899,0.19777777777777777,1.4606741573033708,0.6846153846153846,0.017959183673469388,0.0566699123661149,0.3626760563380282,0.0,0.5454545454545454,1.0,0.9827596978321579,0.6200836414941298,0.9827596978321579
1053,dickera01,2016,TOR,R. A.,Dickey,215,75,R,AL,10.0,15.0,30.0,29.0,0.0,0.0,0.0,509.0,169.0,84.0,28.0,63.0,126.0,0.0,5.0,6,1.0,728.0,1.0,97.0,1.0,3.0,21.0,24.26,0.96,169.66,4.455970765059531,0.2244179894179894,1.3674407638807027,0.7312931034482758,0.02062814736284124,0.06139676996944565,0.44366197183098594,0.0,0.45454545454545453,1.0,0.9802323437087275,0.5365703718777415,0.9802323437087275
2703,mileywa01,2016,BAL,Wade,Miley,220,72,L,AL,9.0,13.0,30.0,30.0,1.0,1.0,0.0,498.0,187.0,99.0,25.0,49.0,137.0,1.0,8.0,3,2.0,711.0,0.0,100.0,2.0,5.0,20.0,23.7,1.0,166.0,5.367469879518072,0.18630751964085296,1.4216867469879517,0.7033898305084746,0.016810029797042783,0.05857112207680756,0.4823943661971831,0.0,0.4090909090909091,1.0,0.9668664271619425,0.4844720609647595,0.9668664271619425
2580,matzst01,2016,NYN,Steven,Matz,200,74,R,NL,9.0,8.0,22.0,22.0,0.0,0.0,0.0,397.0,129.0,50.0,14.0,31.0,129.0,2.0,3.0,5,1.0,547.0,0.0,53.0,8.0,1.0,8.0,24.86,1.0,132.33,3.4005894355021535,0.2940666666666667,1.2090984659563213,0.8270625,0.027605936920222642,0.07109493670886076,0.45422535211267606,0.0,0.4090909090909091,1.0,0.9620171348326685,0.5077917827199925,0.9620171348326685
411,brachbr01,2016,BAL,Brad,Brach,215,78,R,AL,10.0,4.0,71.0,0.0,0.0,0.0,2.0,237.0,57.0,18.0,7.0,25.0,92.0,1.0,4.0,0,1.0,311.0,16.0,23.0,0.0,3.0,7.0,4.38,0.0,79.0,2.050632911392405,0.4876543209876544,1.0379746835443038,0.9634146341463414,0.04700061842918987,0.08490274776165482,0.323943661971831,0.0392156862745098,0.45454545454545453,1.0,0.9103924827081302,0.625664507010809,0.94960816898264
3674,santaer01,2016,MIN,Ervin,Santana,175,74,R,AL,7.0,11.0,30.0,30.0,2.0,1.0,0.0,544.0,168.0,68.0,19.0,53.0,149.0,2.0,11.0,4,3.0,748.0,0.0,78.0,1.0,5.0,20.0,24.93,1.0,181.33,3.3750620415816464,0.2962908496732026,1.2187724039044834,0.8204977375565612,0.027828767870784685,0.07043015063863911,0.5246478873239436,0.0,0.3181818181818182,1.0,0.9410886240151857,0.416440736691242,0.9410886240151857
418,bradlar01,2016,ARI,Archie,Bradley,225,76,R,NL,8.0,9.0,26.0,26.0,0.0,0.0,0.0,425.0,154.0,79.0,16.0,67.0,143.0,8.0,7.0,4,2.0,638.0,0.0,84.0,2.0,7.0,7.0,24.53,1.0,141.66,5.019059720457434,0.19924050632911391,1.5600734152195397,0.6409954751131222,0.018105727906812898,0.05225270634056933,0.5035211267605634,0.0,0.36363636363636365,1.0,0.9375159246443092,0.43399479788374584,0.9375159246443092
2250,leakemi01,2016,SLN,Mike,Leake,170,70,R,NL,9.0,12.0,30.0,30.0,0.0,0.0,0.0,530.0,203.0,92.0,20.0,30.0,125.0,1.0,7.0,7,0.0,757.0,0.0,101.0,5.0,10.0,13.0,25.23,1.0,176.66,4.686969319596966,0.2133574879227053,1.318917695007359,0.7581974248927038,0.019520045172219086,0.06412125821698267,0.44014084507042256,0.0,0.4090909090909091,1.0,0.9328730575505335,0.4927322124801109,0.9328730575505335
2863,nelsoji02,2016,MIL,Jimmy,Nelson,250,78,R,NL,8.0,16.0,32.0,32.0,0.0,0.0,0.0,538.0,186.0,92.0,25.0,86.0,140.0,2.0,8.0,17,0.0,807.0,0.0,108.0,7.0,4.0,18.0,25.21,1.0,179.33,4.617186193051915,0.21658212560386475,1.516756817041209,0.6593014705882353,0.019843107203355654,0.05410647803425168,0.49295774647887325,0.0,0.36363636363636365,1.0,0.9305436953528442,0.43758594887397095,0.9305436953528442
962,degroja01,2016,NYN,Jacob,deGrom,180,76,L,NL,7.0,8.0,24.0,24.0,1.0,1.0,0.0,444.0,142.0,50.0,15.0,36.0,143.0,0.0,4.0,3,0.0,604.0,0.0,53.0,5.0,3.0,15.0,25.16,1.0,148.0,3.0405405405405403,0.3288888888888889,1.2027027027027026,0.8314606741573034,0.03109461966604824,0.07154032143365098,0.5035211267605634,0.0,0.3181818181818182,1.0,0.9243378860420808,0.4208167592815174,0.9243378860420808
326,betande01,2016,NYA,Dellin,Betances,265,80,R,AL,3.0,6.0,73.0,0.0,0.0,0.0,12.0,219.0,54.0,25.0,5.0,28.0,126.0,0.0,6.0,1,0.0,299.0,20.0,31.0,1.0,1.0,4.0,4.09,0.0,73.0,3.0821917808219177,0.3244444444444445,1.1232876712328768,0.8902439024390244,0.030649350649350652,0.07749305341154678,0.44366197183098594,0.23529411764705882,0.13636363636363635,1.0,0.6881680122555197,0.4798001580715926,0.9234621299025785
1552,graveke01,2016,OAK,Kendall,Graveman,200,74,R,AL,10.0,11.0,31.0,31.0,2.0,1.0,0.0,558.0,196.0,85.0,22.0,47.0,108.0,2.0,2.0,7,0.0,786.0,0.0,87.0,2.0,6.0,19.0,25.35,1.0,186.0,4.112903225806452,0.24313725490196075,1.3064516129032258,0.7654320987654322,0.02250354687329477,0.06485388341928428,0.38028169014084506,0.0,0.45454545454545453,1.0,0.9221845749788786,0.5419028848380336,0.9221845749788786
3682,santihe01,2016,LAA,Hector,Santiago,215,72,R,AL,10.0,4.0,22.0,22.0,0.0,0.0,0.0,362.0,104.0,57.0,20.0,57.0,107.0,0.0,2.0,4,1.0,515.0,0.0,61.0,3.0,4.0,9.0,23.4,1.0,120.66,4.25161611138737,0.23520467836257308,1.3343278634178684,0.7494409937888199,0.02170881749829118,0.06323453101658935,0.3767605633802817,0.0,0.45454545454545453,1.0,0.9162493664406168,0.5394888030603351,0.9162493664406168
