,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
565,gourryu01,2016,HOU,Yulieski,Gurriel,190,72,R,AL,36.0,34.0,130.0,3.0,15.0,1.0,13.0,7.0,0.0,1.0,5.0,12.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,5.0,0.0,21.0,0.0,1.0,0.0,0.0,1.0,7.0,3b,['3b'],0.26153846153846155,0.291970802919708,24.0,0.38461538461538464,0.6765861875350927,0.39230769230769236,0.06382978723404255,0.10569105691056911,0.11278195488721804,0.016129032258064516,0.388,0.2680069351558636
917,moustmi01,2016,KCA,Mike,Moustakas,215,72,L,AL,27.0,25.0,104.0,7.0,13.0,0.0,12.0,6.0,0.0,1.0,9.0,13.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.2403846153846154,0.3008849557522124,12.0,0.5,0.8008849557522124,0.36057692307692313,0.14893617021276595,0.0975609756097561,0.09774436090225563,0.0,0.2944,0.20749854573362073
645,hillaa01,2016,BOS,Aaron,Hill,200,71,R,AL,47.0,27.0,124.0,2.0,9.0,0.0,14.0,3.0,0.0,0.0,11.0,16.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,3b,['3b'],0.21774193548387097,0.2867647058823529,22.0,0.2903225806451613,0.5770872865275143,0.3266129032258065,0.0425531914893617,0.11382113821138211,0.06766917293233082,0.0,0.36640000000000006,0.20176050710669408
68,aybarer01,2016,DET,Erick,Aybar,195,70,B,AL,29.0,20.0,80.0,1.0,8.0,0.0,7.0,5.0,0.0,0.0,11.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,3b,"['3b', 'ss']",0.25,0.34065934065934067,14.0,0.35,0.6906593406593406,0.375,0.02127659574468085,0.056910569105691054,0.06015037593984962,0.0,0.20800000000000002,0.10677420848436608
869,mcgehca01,2016,DET,Casey,McGehee,220,73,R,AL,30.0,21.0,92.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,14.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.22826086956521738,0.2604166666666667,20.0,0.2391304347826087,0.4995471014492754,0.3423913043478261,0.0,0.032520325203252036,0.007518796992481203,0.0,0.25120000000000003,0.09606652314774212
288,cowarka01,2016,LAA,Kaleb,Cowart,225,75,B,AL,31.0,15.0,85.0,1.0,8.0,0.0,8.0,4.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,"['2b', '3b']",0.17647058823529413,0.1839080459770115,10.0,0.25882352941176473,0.4427315753887762,0.26470588235294124,0.02127659574468085,0.06504065040650407,0.06015037593984962,0.0,0.226,0.09292521200433852
1160,riverya01,2016,MIL,Yadiel,Rivera,185,75,R,NL,35.0,14.0,66.0,0.0,3.0,0.0,12.0,4.0,0.0,0.0,2.0,20.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,13.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,3b,"['2b', '3b']",0.21212121212121213,0.23529411764705882,10.0,0.2727272727272727,0.5080213903743316,0.31818181818181823,0.0,0.0975609756097561,0.022556390977443608,0.0,0.15760000000000002,0.06907595151959724
721,kellyty01,2016,NYN,Ty,Kelly,180,72,B,NL,39.0,14.0,58.0,1.0,7.0,0.0,9.0,1.0,1.0,0.0,11.0,9.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,10.0,0.0,8.0,1.0,1.0,10.0,0.0,3b,"['3b', 'of']",0.2413793103448276,0.352112676056338,11.0,0.3448275862068966,0.6969402622632346,0.36206896551724144,0.02127659574468085,0.07317073170731707,0.05263157894736842,0.0,0.1288,0.06557824590285909
1346,tayloch03,2016,LAN,Chris,Taylor,195,73,R,NL,34.0,12.0,58.0,1.0,7.0,0.0,8.0,2.0,2.0,0.0,4.0,13.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.20689655172413793,0.25806451612903225,7.0,0.3620689655172414,0.6201334816462736,0.3103448275862069,0.02127659574468085,0.06504065040650407,0.05263157894736842,0.0,0.1288,0.057869022465797115
1289,snydebr03,2016,ATL,Brandon,Snyder,225,74,R,NL,37.0,11.0,46.0,4.0,9.0,0.0,8.0,5.0,1.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3b,[],0.2391304347826087,0.2553191489361702,1.0,0.6521739130434783,0.9074930619796484,0.3586956521739131,0.0851063829787234,0.06504065040650407,0.06766917293233082,0.0,0.1,0.057651185849147135
