,playerID,yearID,LastOfteamID,nameFirst,nameLast,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
2177,hoyinja01,2016,TEX,Jared,Hoying,39.0,10.0,46.0,0.0,5.0,1.0,8.0,2.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,17.0,31.0,3.0,of,"['lf', 'rf', 'of']",0.21739130434782608,0.2653061224489796,8.0,0.2608695652173913,0.5261756876663709,0.32608695652173914,0.0,0.06504065040650407,0.03759398496240601,0.016129032258064516,0.1,0.04448506241487138
840,coatsja01,2016,CHA,Jason,Coats,28.0,10.0,50.0,1.0,4.0,1.0,8.0,4.0,0.0,0.0,5.0,12.0,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,11.0,18.0,6.0,of,"['rf', 'of']",0.2,0.2982456140350877,5.0,0.34,0.6382456140350877,0.30000000000000004,0.02127659574468085,0.06504065040650407,0.03007518796992481,0.016129032258064516,0.1,0.04325214663791743
1561,gamelbe01,2016,SEA,Ben,Gamel,33.0,9.0,48.0,1.0,5.0,0.0,9.0,2.0,0.0,0.0,6.0,16.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,29.0,31.0,0.0,of,"['rf', 'of']",0.1875,0.2777777777777778,6.0,0.2916666666666667,0.5694444444444444,0.28125,0.02127659574468085,0.07317073170731707,0.03759398496240601,0.0,0.1,0.041329131241440394
397,bonifem01,2016,ATL,Emilio,Bonifacio,24.0,8.0,38.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,13.0,0.0,of,"['lf', 'of']",0.21052631578947367,0.2682926829268293,8.0,0.21052631578947367,0.47881899871630296,0.3157894736842105,0.0,0.04878048780487805,0.022556390977443608,0.016129032258064516,0.1,0.04032553847245967
2550,lakeju01,2016,TOR,Junior,Lake,22.0,7.0,35.0,1.0,2.0,1.0,5.0,3.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,rf,"['rf', 'of']",0.2,0.28205128205128205,3.0,0.37142857142857144,0.6534798534798535,0.30000000000000004,0.02127659574468085,0.04065040650406504,0.015037593984962405,0.016129032258064516,0.1,0.03930936284917729
1105,dendema01,2016,WAS,Matt,den Dekker,19.0,6.0,34.0,1.0,4.0,1.0,3.0,1.0,0.0,0.0,4.0,10.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,12.0,0.0,of,['of'],0.17647058823529413,0.28205128205128205,4.0,0.29411764705882354,0.5761689291101055,0.26470588235294124,0.02127659574468085,0.024390243902439025,0.03007518796992481,0.016129032258064516,0.1,0.03565769422280504
3720,preslal01,2016,MIL,Alex,Presley,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,13.0,30.0,0.0,of,"['lf', 'rf', 'of']",0.2,0.2,1.0,0.2,0.4,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.030000000000000006
1065,deckeja01,2016,TBA,Jaff,Decker,19.0,8.0,52.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,13.0,16.0,1.0,of,"['rf', 'of']",0.15384615384615385,0.21052631578947367,7.0,0.17307692307692307,0.38360323886639675,0.23076923076923078,0.0,0.008130081300813009,0.007518796992481203,0.016129032258064516,0.1072,0.0281450535495672
994,cunnito01,2016,LAA,Todd,Cunningham,20.0,4.0,27.0,0.0,1.0,0.0,5.0,3.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,18.0,1.0,of,"['lf', 'of']",0.14814814814814814,0.17857142857142858,1.0,0.25925925925925924,0.4378306878306878,0.2222222222222222,0.0,0.04065040650406504,0.007518796992481203,0.0,0.1,0.027039142571876847
1645,gentrcr01,2016,LAA,Craig,Gentry,14.0,5.0,34.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,13.0,1.0,of,"['lf', 'of']",0.14705882352941177,0.23684210526315788,4.0,0.17647058823529413,0.413312693498452,0.22058823529411767,0.0,0.016260162601626018,0.015037593984962405,0.0,0.1,0.02518859918807061
724,cecilda01,2016,TOR,Darrell,Ceciliani,13.0,3.0,27.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,12.0,0.0,of,['of'],0.1111111111111111,0.1724137931034483,1.0,0.18518518518518517,0.35759897828863346,0.16666666666666666,0.0,0.016260162601626018,0.007518796992481203,0.0,0.1,0.01904456262607739
2210,huntece01,2016,PHI,Cedric,Hunter,13.0,3.0,34.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,12.0,0.0,of,"['lf', 'of']",0.08823529411764706,0.1388888888888889,2.0,0.17647058823529413,0.315359477124183,0.13235294117647062,0.02127659574468085,0.024390243902439025,0.007518796992481203,0.0,0.1,0.01855385778160717
3217,navada01,2016,LAA,Daniel,Nava,9.0,1.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0,0.0,0.0,6.0,0.0,0.0,0.0,37.0,0.0,2.0,37.0,1.0,lf,"['lf', 'of']",0.09090909090909091,0.16666666666666666,0.0,0.18181818181818182,0.3484848484848485,0.13636363636363638,0.0,0.008130081300813009,0.0,0.0,0.1,0.014449371766444938
