,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,debut,birthCountry,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
360,difowi01,2016,WAS,Wilmer,Difo,200,71,B,NL,31.0,16.0,58.0,1.0,7.0,3.0,14.0,3.0,0.0,0.0,8.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,2015-05-19,D.R.,2b,[],0.27586206896551724,0.36363636363636365,12.0,0.3793103448275862,0.7429467084639498,0.41379310344827586,0.02127659574468085,0.11382113821138211,0.05263157894736842,0.04838709677419355,0.1288,0.083708345290616
635,hernama02,2016,BOS,Marco,Hernandez,200,72,L,AL,40.0,15.0,51.0,1.0,5.0,1.0,11.0,1.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,2016-04-17,D.R.,2b,"['2b', '3b']",0.29411764705882354,0.35714285714285715,13.0,0.37254901960784315,0.7296918767507004,0.44117647058823534,0.02127659574468085,0.08943089430894309,0.03759398496240601,0.016129032258064516,0.10360000000000001,0.06274088290653738
466,freemmi01,2016,SEA,Mike,Freeman,190,72,L,AL,13.0,5.0,13.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2016-07-17,USA,2b,[],0.38461538461538464,0.38461538461538464,4.0,0.46153846153846156,0.8461538461538463,0.576923076923077,0.0,0.008130081300813009,0.007518796992481203,0.0,0.1,0.05925719552163712
717,kawasmu01,2016,CHN,Munenori,Kawasaki,175,71,L,NL,14.0,7.0,21.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-04-07,Japan,2b,['2b'],0.3333333333333333,0.46153846153846156,5.0,0.42857142857142855,0.8901098901098901,0.5,0.0,0.024390243902439025,0.007518796992481203,0.03225806451612903,0.1,0.056416710541104934
572,greengr01,2016,SFN,Grant,Green,180,75,R,NL,18.0,12.0,46.0,1.0,7.0,0.0,7.0,2.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-08,USA,2b,['2b'],0.2608695652173913,0.3,9.0,0.3695652173913043,0.6695652173913043,0.391304347826087,0.02127659574468085,0.056910569105691054,0.05263157894736842,0.0,0.1,0.05221230916238273
1303,spangco01,2016,SDN,Cory,Spangenberg,195,72,L,NL,14.0,11.0,48.0,1.0,8.0,1.0,6.0,1.0,1.0,0.0,4.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-09-01,USA,2b,['2b'],0.22916666666666666,0.3018867924528302,8.0,0.3541666666666667,0.6560534591194969,0.34375,0.02127659574468085,0.04878048780487805,0.06015037593984962,0.016129032258064516,0.1,0.04900864917474731
42,andinro01,2016,MIA,Robert,Andino,185,71,R,NL,13.0,7.0,24.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2005-09-04,USA,2b,[],0.2916666666666667,0.2916666666666667,7.0,0.2916666666666667,0.5833333333333334,0.43750000000000006,0.0,0.016260162601626018,0.007518796992481203,0.0,0.1,0.04612789595941073
1057,pindech01,2016,OAK,Chad,Pinder,195,74,R,AL,22.0,12.0,51.0,1.0,4.0,0.0,4.0,4.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,2016-08-20,USA,2b,['2b'],0.23529411764705882,0.2727272727272727,7.0,0.37254901960784315,0.6452762923351159,0.35294117647058826,0.02127659574468085,0.032520325203252036,0.03007518796992481,0.0,0.10360000000000001,0.045253856366243
1145,rendato01,2016,CIN,Tony,Renda,175,68,R,NL,32.0,11.0,60.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,5.0,11.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,9.0,1.0,0.0,4.0,0.0,4.0,8.0,0.0,2016-08-02,USA,2b,[],0.18333333333333332,0.24615384615384617,9.0,0.21666666666666667,0.46282051282051284,0.275,0.0,0.032520325203252036,0.022556390977443608,0.0,0.136,0.044890433400574616
597,hansoal01,2016,PIT,Alen,Hanson,175,71,B,NL,27.0,7.0,31.0,0.0,1.0,2.0,5.0,1.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05-16,D.R.,2b,[],0.22580645161290322,0.2727272727272727,6.0,0.25806451612903225,0.530791788856305,0.33870967741935487,0.0,0.04065040650406504,0.007518796992481203,0.03225806451612903,0.1,0.04191369454320302
