,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,debut,birthCountry,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
92,beckhti01,2016,TBA,Tim,Beckham,195,72,R,AL,64.0,49.0,198.0,5.0,16.0,2.0,25.0,12.0,5.0,1.0,14.0,67.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,6.0,19.0,7.0,25.0,0.0,0.0,0.0,0.0,3.0,2013-09-19,USA,ss,"['2b', 'ss']",0.2474747474747475,0.3004694835680751,27.0,0.43434343434343436,0.7348129179115095,0.37121212121212127,0.10638297872340426,0.2032520325203252,0.12030075187969924,0.03225806451612903,0.6328,0.5273792844333425
1336,swansda01,2016,ATL,Dansby,Swanson,190,73,R,NL,38.0,39.0,129.0,3.0,17.0,3.0,20.0,7.0,1.0,0.0,13.0,34.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,2016-08-17,USA,ss,['ss'],0.3023255813953488,0.3611111111111111,28.0,0.4418604651162791,0.8029715762273901,0.45348837209302323,0.06382978723404255,0.16260162601626016,0.12781954887218044,0.04838709677419355,0.38439999999999996,0.3290950000724406
1180,rolliji01,2016,CHA,Jimmy,Rollins,175,67,B,AL,41.0,33.0,149.0,2.0,8.0,5.0,25.0,8.0,1.0,2.0,16.0,33.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,4.0,2000-09-17,USA,ss,['ss'],0.2214765100671141,0.29518072289156627,22.0,0.3288590604026846,0.6240397832942508,0.33221476510067116,0.0425531914893617,0.2032520325203252,0.06015037593984962,0.08064516129032258,0.45640000000000003,0.328067406221818
1248,sardilu01,2016,SDN,Luis,Sardinas,180,73,B,NL,34.0,31.0,108.0,2.0,13.0,3.0,13.0,6.0,1.0,1.0,11.0,23.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2014-04-20,Venezuela,ss,['ss'],0.28703703703703703,0.35294117647058826,22.0,0.4166666666666667,0.7696078431372549,0.4305555555555556,0.0425531914893617,0.10569105691056911,0.09774436090225563,0.04838709677419355,0.3088,0.2238587735919417
240,castrda01,2016,ATL,Daniel,Castro,190,71,R,NL,47.0,26.0,130.0,0.0,7.0,1.0,8.0,1.0,0.0,1.0,7.0,24.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,16.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,2015-06-17,Mexico,ss,"['2b', 'ss']",0.2,0.24087591240875914,25.0,0.2076923076923077,0.44856822010106684,0.30000000000000004,0.0,0.06504065040650407,0.05263157894736842,0.016129032258064516,0.388,0.16831488950543158
1155,reynoma03,2016,NYN,Matt,Reynolds,200,73,R,NL,47.0,20.0,89.0,3.0,13.0,0.0,11.0,8.0,0.0,1.0,4.0,34.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,7.0,21.0,1.0,0.0,0.0,1.0,0.0,2016-05-17,USA,ss,['ss'],0.2247191011235955,0.26595744680851063,9.0,0.4157303370786517,0.6816877838871623,0.33707865168539325,0.06382978723404255,0.08943089430894309,0.09774436090225563,0.0,0.24040000000000003,0.14137532006900452
1037,perezye01,2016,MIA,Yefri,Perez,170,71,B,NL,12.0,2.0,3.0,0.0,0.0,4.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2016-07-17,D.R.,ss,[],0.6666666666666666,0.6666666666666666,1.0,1.0,1.6666666666666665,1.0,0.0,0.04065040650406504,0.0,0.06451612903225806,0.1,0.11051665355363233
381,duffyma01,2016,TBA,Matt,Duffy,170,74,R,AL,21.0,21.0,76.0,1.0,7.0,0.0,9.0,3.0,0.0,1.0,3.0,13.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,2014-05-22,USA,ss,['ss'],0.27631578947368424,0.3,17.0,0.35526315789473684,0.6552631578947368,0.4144736842105264,0.02127659574468085,0.07317073170731707,0.05263157894736842,0.0,0.1936,0.10871658154207522
318,culbech01,2016,LAN,Charlie,Culberson,200,72,R,NL,34.0,20.0,67.0,1.0,7.0,1.0,6.0,3.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,4.0,11.0,2.0,0.0,0.0,2.0,0.0,2012-05-13,USA,ss,"['2b', 'ss']",0.29850746268656714,0.3088235294117647,16.0,0.3880597014925373,0.696883230904302,0.4477611940298507,0.02127659574468085,0.04878048780487805,0.05263157894736842,0.016129032258064516,0.1612,0.09455651687211662
16,adriaeh01,2016,SFN,Ehire,Adrianza,170,73,B,NL,40.0,16.0,63.0,2.0,7.0,0.0,3.0,2.0,0.0,1.0,2.0,13.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,2013-09-08,Venezuela,ss,['ss'],0.25396825396825395,0.29850746268656714,12.0,0.38095238095238093,0.6794598436389481,0.38095238095238093,0.0425531914893617,0.024390243902439025,0.05263157894736842,0.0,0.1468,0.07347742162879956
1109,ramiral03,2016,TBA,Alexei,Ramirez,180,74,R,AL,17.0,14.0,57.0,1.0,7.0,2.0,5.0,3.0,0.0,0.0,4.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2008-03-31,Cuba,ss,['ss'],0.24561403508771928,0.29508196721311475,10.0,0.3508771929824561,0.6459591601955709,0.3684210526315789,0.02127659574468085,0.04065040650406504,0.05263157894736842,0.03225806451612903,0.1252,0.06450775983264655
246,cecchga02,2016,NYN,Gavin,Cecchini,200,74,R,NL,4.0,2.0,6.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2016-09-11,USA,ss,[],0.3333333333333333,0.42857142857142855,0.0,0.6666666666666666,1.0952380952380951,0.5,0.0,0.016260162601626018,0.015037593984962405,0.0,0.1,0.05312977565865884
1345,tayloch03,2016,SEA,Chris,Taylor,195,73,R,AL,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2014-07-24,USA,ss,[],0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.1,0.05
540,gonzaer01,2016,CLE,Erik,Gonzalez,195,75,R,AL,21.0,5.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,0.0,0.0,2.0,2.0,0.0,2016-07-16,D.R.,ss,[],0.3125,0.35294117647058826,5.0,0.3125,0.6654411764705883,0.46875,0.0,0.016260162601626018,0.0,0.0,0.1,0.0485010162601626
939,noonani01,2016,SDN,Nick,Noonan,185,73,L,NL,7.0,3.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2013-04-03,USA,ss,[],0.16666666666666666,0.2,3.0,0.16666666666666666,0.3666666666666667,0.25,0.0,0.0,0.007518796992481203,0.0,0.1,0.025751879699248123
1189,rondojo02,2016,SDN,Jose,Rondon,195,73,R,NL,8.0,3.0,25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2016-07-29,Venezuela,ss,[],0.12,0.15384615384615385,3.0,0.12,0.27384615384615385,0.18,0.0,0.008130081300813009,0.007518796992481203,0.0,0.1,0.01956488782932942
792,machadi01,2016,DET,Dixon,Machado,170,73,R,AL,8.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2015-05-25,Venezuela,ss,[],0.1,0.3076923076923077,1.0,0.1,0.4076923076923077,0.15000000000000002,0.0,0.008130081300813009,0.0,0.0,0.1,0.015813008130081303
1221,ryanbr01,2016,LAA,Brendan,Ryan,190,73,R,AL,17.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,1.0,0.0,2007-06-02,USA,ss,['ss'],0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693,0.15384615384615385,0.11538461538461539,0.0,0.008130081300813009,0.0,0.0,0.1,0.012351469668542841
